cs2c2(variables[0]=28000000000000.0),cs2c2(variables[0]=56000000000000.0),cs2c2(variables[0]=84000000000000.0),cs2c2(variables[0]=112000000000000.0),cs2c2(variables[0]=140000000000000.0),cs2c2(variables[0]=168000000000000.0),cs2c2(variables[0]=196000000000000.0),cs2c2(variables[0]=224000000000000.0),cs2c2(variables[0]=252000000000000.0),cs2c2(variables[0]=280000000000000.0),cs2c2(variables[0]=308000000000000.0),cs2c2(variables[0]=336000000000000.0),cs2c2(variables[0]=364000000000000.0),cs2c2(variables[0]=392000000000000.0),cs2c2(variables[0]=420000000000000.0),cs2c2(variables[0]=448000000000000.0),cs2c2(variables[0]=476000000000000.0),cs2c2(variables[0]=504000000000000.0),cs2c2(variables[0]=532000000000000.0),cs2c2(variables[0]=560000000000000.0),cs2c2(variables[0]=588000000000000.0),cs2c2(variables[0]=616000000000000.0),cs2c2(variables[0]=644000000000000.0),cs2c2(variables[0]=672000000000000.0),cs2c2(variables[0]=700000000000000.0),cs2c2(variables[0]=728000000000000.0),cs2c2(variables[0]=756000000000000.0),cs2c2(variables[0]=784000000000000.0),cs2c2(variables[0]=812000000000000.0),cs2c2(variables[0]=840000000000000.0),cs2c2(variables[0]=868000000000000.0),cs2c2(variables[0]=896000000000000.0),cs2c2(variables[0]=924000000000000.0),cs2c2(variables[0]=952000000000000.0),cs2c2(variables[0]=980000000000000.0),cs2c2(variables[0]=1008000000000000.0),cs2c2(variables[0]=1036000000000000.0),cs2c2(variables[0]=1064000000000000.0),cs2c2(variables[0]=1092000000000000.0),cs2c2(variables[0]=1120000000000000.0),cs2c2(variables[0]=1148000000000000.0),cs2c2(variables[0]=1176000000000000.0),cs2c2(variables[0]=1204000000000000.0),cs2c2(variables[0]=1232000000000000.0),cs2c2(variables[0]=1260000000000000.0),cs2c2(variables[0]=1288000000000000.0),cs2c2(variables[0]=1316000000000000.0),cs2c2(variables[0]=1344000000000000.0),cs2c2(variables[0]=1372000000000000.0),cs2c2(variables[0]=1400000000000000.0),cs2c2(variables[0]=1428000000000000.0),cs2c2(variables[0]=1456000000000000.0),cs2c2(variables[0]=1484000000000000.0),cs2c2(variables[0]=1512000000000000.0),cs2c2(variables[0]=1540000000000000.0),cs2c2(variables[0]=1568000000000000.0),cs2c2(variables[0]=1596000000000000.0),cs2c2(variables[0]=1624000000000000.0),cs2c2(variables[0]=1652000000000000.0),cs2c2(variables[0]=1680000000000000.0),cs2c2(variables[0]=1708000000000000.0),cs2c2(variables[0]=1736000000000000.0),cs2c2(variables[0]=1764000000000000.0),cs2c2(variables[0]=1792000000000000.0),cs2c2(variables[0]=1820000000000000.0),cs2c2(variables[0]=1848000000000000.0),cs2c2(variables[0]=1876000000000000.0),cs2c2(variables[0]=1904000000000000.0),cs2c2(variables[0]=1932000000000000.0),cs2c2(variables[0]=1960000000000000.0),cs2c2(variables[0]=1988000000000000.0),cs2c2(variables[0]=2016000000000000.0),cs2c2(variables[0]=2044000000000000.0),cs2c2(variables[0]=2072000000000000.0),cs2c2(variables[0]=2100000000000000.0),cs2c2(variables[0]=2128000000000000.0),cs2c2(variables[0]=2156000000000000.0),cs2c2(variables[0]=2184000000000000.0),cs2c2(variables[0]=2212000000000000.0),cs2c2(variables[0]=2240000000000000.0),cs2c2(variables[0]=2268000000000000.0),cs2c2(variables[0]=2296000000000000.0),cs2c2(variables[0]=2324000000000000.0),cs2c2(variables[0]=2352000000000000.0),cs2c2(variables[0]=2380000000000000.0),cs2c2(variables[0]=2408000000000000.0),cs2c2(variables[0]=2436000000000000.0),cs2c2(variables[0]=2464000000000000.0),cs2c2(variables[0]=2492000000000000.0),cs2c2(variables[0]=2520000000000000.0),cs2c2(variables[0]=2548000000000000.0),cs2c2(variables[0]=2576000000000000.0),cs2c2(variables[0]=2604000000000000.0),cs2c2(variables[0]=2632000000000000.0),cs2c2(variables[0]=2660000000000000.0),cs2c2(variables[0]=2688000000000000.0),cs2c2(variables[0]=2716000000000000.0),cs2c2(variables[0]=2744000000000000.0),cs2c2(variables[0]=2772000000000000.0),cs2c2(variables[0]=2800000000000000.0)
0.0007400248634425546,0.00013387339925860042,8.520622430938035e-05,7.801004098774017e-05,6.839657658038484e-05,6.839657658038484e-05,6.185983285962144e-05,5.793126962464615e-05,5.793126962464615e-05,5.636270307219005e-05,5.636270307219005e-05,5.71283972938633e-05,5.71283972938633e-05,6.045517000485507e-05,6.045517000485507e-05,6.689322577437837e-05,6.689322577437837e-05,7.744985717977342e-05,8.860336524868605e-05,9.013369397936242e-05,9.042931375302947e-05,9.042931375302947e-05,9.699830448174469e-05,9.699830448174469e-05,9.699830448174469e-05,0.0001094825535794544,0.0001094825535794544,0.00013008594458330063,0.00013008594458330063,0.00013008594458330063,0.00016264111898915988,0.00016264111898915988,0.00021368393934205636,0.00029438381784540273,0.0004239982910608661,0.0005262574677938846,0.0006341070498720067,0.0007725626829969195,0.0010725686359249371,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.0012039166597096625,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.001202138900784248,0.0012983233074276093,0.0012983233074276093,0.0012733881559392033,0.0012733881559392033,0.0012733881559392033,0.0012733881559392033,0.0012733881559392033,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0009614914684246519,0.0008718674054953032,0.0008718674054953032,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289,0.0004039417820812289
0.0017481519685491327,0.0007164978858511547,0.0006629841103354951,0.000652576521121808,0.0006831258844651627,0.0007574843575474734,0.0009022113099466912,0.0011207385672186568,0.0013611405846634971,0.0017755690008606196,0.0023274125718073324,0.0030152817845867453,0.004032115677809981,0.005719409441226047,0.007573880168368501,0.010373001321683648,0.01401815621563445,0.018199424337411448,0.02303587281713196,0.029831048071347285,0.038628504001396634,0.04912087552091427,0.06245112469685027,0.07924310014458853,0.09861395825589071,0.12054391264012258,0.13094197440069053,0.13087357877915715,0.1325750769308807,0.12621396726141382,0.11642368883668383,0.10724958893087255,0.09746229678887397,0.09013906500401277,0.08463462535535721,0.07855984499766666,0.07514332980839636,0.0705115289361809,0.06636544407096921,0.0633678301495717,0.06163819787965851,0.05845465226013599,0.055932796185087674,0.055022304858057314,0.050644451820946706,0.04948063440916205,0.04782941734904401,0.04616735956966566,0.044523216385852535,0.04271161971513746,0.04178526081835939,0.04017555051315552,0.03903544533346586,0.038046704734667806,0.03723365926887813,0.03642804337932643,0.035112257442665606,0.03470343695266248,0.0335298032948547,0.03283969415896838,0.03185962047301444,0.03116052336454364,0.030760137674268447,0.0305355821523383,0.03024848889906555,0.03013710730200514,0.029485992500020416,0.029344864122823295,0.02813450126563183,0.027169919626543138,0.026788191174476478,0.02594655940536899,0.02594549251528226,0.025757628739770565,0.025099971818028387,0.025078646422136034,0.024973155147295454,0.02497304868070113,0.024571092432165216,0.023795382655406754,0.02341420066785368,0.023401100150542482,0.02328093092462039,0.023191441725425865,0.02253557473751292,0.022183499432305177,0.022180482862702945,0.02101274577301435,0.020989353288336534,0.020988646725765468,0.020965386080419236,0.020613065412558945,0.020596447435038242,0.020462494426622454,0.01995861302285764,0.019662325322923616,0.019221839716234045,0.019153248155295628,0.018907623934412594,0.018575644430917353
0.0020770063510728454,0.0009247728929273212,0.000863722526176038,0.0009065335758712971,0.0009766842810090724,0.0011706558094148232,0.0013822387996402286,0.001700848588695857,0.002213684252650687,0.0027504418066841133,0.003754176362394298,0.005015752405367001,0.006539120769110697,0.008596974329521572,0.011385043019928605,0.015155719175186105,0.019825923608480015,0.02673037067998816,0.033276143856781876,0.04214251934891893,0.0545502726053499,0.0684640239911008,0.08943094514173257,0.1113081247882314,0.13436973285269477,0.14980635997541958,0.16074414928834702,0.16464791004011486,0.163973095958199,0.16014210334335402,0.15125271417851338,0.14169754637480816,0.13492838189016462,0.12639377810723826,0.1172444740457076,0.112031360470144,0.10511996225779073,0.10118233786715136,0.09674643038307963,0.09170354465947538,0.08748045369087253,0.08366402392273059,0.08005537045101131,0.07661371907357296,0.07459798470112364,0.07299939218752982,0.07123832511041787,0.06719940998546864,0.0662869109978697,0.06411974177370769,0.06187997818879386,0.05979886802073333,0.05903800541494907,0.056529514220210166,0.054616568351007116,0.05411457336855077,0.05251462157846979,0.05123155354615141,0.050682935375083685,0.04992094992158038,0.04877442034767241,0.047793752661840806,0.047651269071496825,0.045964019457979524,0.04565363234433397,0.04543193676470647,0.043969586019353996,0.04311047742361966,0.042021690543631814,0.040290350015677615,0.04030179212497379,0.039766285936994474,0.03858133833477474,0.038210739666107406,0.037740180965044556,0.037755670782356116,0.037275931560409585,0.03703609006286162,0.03654368833002608,0.03537867729035777,0.03512731406100606,0.03452894410432511,0.033545859679835144,0.0332348314134131,0.03313423129061506,0.03303265412460554,0.03277224336405535,0.0321672084423329,0.03169445428264638,0.031692039911527296,0.030512357822227793,0.030303975681160694,0.030262578685157977,0.030043832040195315,0.030043832022642145,0.02994223980570002,0.029499931776765197,0.02915275325125197,0.028805098265831146,0.02860692349585832
0.0023761158013252915,0.0010735429655894702,0.0010311572460676634,0.0011051011019450436,0.001270331142485331,0.0015259608507855772,0.001860401781179174,0.0023104502334450267,0.0029867106850129227,0.0038135031689323436,0.005074558212164853,0.006640242884805297,0.00867254101140134,0.011496058532330723,0.014748623268332301,0.019117745598630824,0.025722440158936856,0.03364754448680564,0.04260293062613078,0.05264567968162515,0.06787039277611351,0.08576009071233161,0.10938674382939291,0.13295399436538044,0.15473308819656756,0.17077011426912656,0.18083412607120825,0.18545460628925675,0.18591761749953215,0.18241819648223023,0.17513879605344462,0.16880429184799825,0.16030365357195106,0.15160082800871152,0.14206463312461393,0.13487539465418547,0.12931898662202854,0.12202945023413797,0.11601572411138768,0.11171330609720062,0.1082578428332912,0.10363601109444466,0.0995575599847332,0.09581428660673964,0.09397514601091043,0.08970775389076563,0.08736559494695903,0.08517805695605388,0.08224500936579703,0.07883421940404872,0.07707701048006947,0.0750136263335837,0.07303858884590565,0.07036580823234995,0.06955403674167279,0.06899314981752205,0.0669960776656691,0.06556649328730872,0.06337010217548315,0.0625404146709404,0.062464108773678424,0.0613675444011984,0.05910328277148443,0.05798268863641968,0.05640276647838974,0.05616931976379588,0.055773781221861246,0.05491046193820587,0.05410121651394572,0.054027340570770965,0.05335623312807695,0.05282626792411974,0.05275658281064177,0.05144830182472567,0.05106820267904571,0.05056666850299804,0.04975641980564082,0.04933398125549106,0.04845103235308606,0.047805328070596446,0.047748154069750345,0.04741820004079803,0.046215301748408724,0.0458738860276665,0.045404938081834954,0.04502631927809133,0.04427005651468388,0.043950084915977454,0.04369437938549342,0.04339096575134838,0.04288216855964321,0.04185254211645212,0.04125517121655764,0.04119806055800913,0.04107615960312418,0.04026107324402005,0.0392000475711134,0.038711851176758925,0.03808872361810818,0.037772057701961737
0.002777623603895714,0.0012027709238071466,0.0011988676835724822,0.001329624661682563,0.0015206967904458004,0.0018386691799508485,0.0022801048902972485,0.002893381883011799,0.0036419056214563672,0.004683359851766781,0.006063694940133665,0.00809075637052217,0.010616718318992793,0.013706917583327496,0.017978426307652243,0.02339139340227615,0.030145926915438204,0.03909285336952912,0.0501720186612959,0.06392210954675977,0.07935382603011004,0.10183123102730711,0.12747877081412864,0.15101163563351244,0.17071559499410652,0.1869434142177829,0.19476532325162185,0.20071479474943585,0.20196025223650083,0.1976040419777294,0.19350115019986291,0.1847944639891548,0.17789840141058247,0.17040225346861818,0.16197360427256682,0.15554557435895505,0.14713987956938002,0.1423640887362884,0.13629167386769722,0.13160554559503138,0.1269520665991634,0.12320942235033618,0.11941539727557444,0.11401548856973844,0.11047278476359615,0.10724055286471176,0.10358559363126671,0.10003172191600432,0.09734324385469895,0.09492233197597864,0.09227476583335725,0.09053749563273157,0.08834018375990854,0.08753397440127333,0.08494817792427814,0.0830398312902499,0.08165480882258452,0.080744792170184,0.07874203248377583,0.07761978964810239,0.07604111585162514,0.07503387276823566,0.0733825789580744,0.07233579092104413,0.07147324807132928,0.07000511659770776,0.06882118140647953,0.06758169653502673,0.06649730625201429,0.06648792499253095,0.06533295878006203,0.0643026491362415,0.06341005116441288,0.061878490122036625,0.06111970912335989,0.060499190697197024,0.05956157646191995,0.05883657123098253,0.05782125520537724,0.05691183526017695,0.05656335201396774,0.0556463368193056,0.05546281098947766,0.05519671209542182,0.05508997827856435,0.05402038204278492,0.0536722610730234,0.053381820363125713,0.05288974600633424,0.05254014235878319,0.05176324793748164,0.05157561838746696,0.05047705320263213,0.04955781244272451,0.04896942693098018,0.04837908359587511,0.048339647399391526,0.048073246793776434,0.04721947754212512,0.046499823650993026
0.0030477643324467694,0.0013438414648010721,0.0013387138275917916,0.0015225972719859634,0.0017360062134660972,0.0021839294460618648,0.0027106824134503155,0.003380491320044205,0.0042197627616417585,0.005446126985304344,0.007068405819677713,0.009403831334797268,0.012128334489414127,0.015904507120592538,0.02075756328569452,0.026754671685455412,0.03444512144660537,0.04467152398286503,0.05726134010119607,0.07310705115671537,0.09179441941522037,0.11549306208963327,0.14013085356337587,0.1642732684615793,0.18445730223712495,0.19872703356600468,0.207867345130459,0.21320289335424575,0.2137884523686904,0.21226236967842899,0.20819635710091913,0.20184192693601133,0.19507496668386917,0.1870533480646637,0.17916888882113383,0.17104609543785285,0.16550350944644326,0.15980641552227964,0.1533875597933525,0.14858001351590322,0.14341415863417936,0.13793752207351198,0.13340271241716628,0.12872685314751114,0.1271909582031684,0.12103814651088159,0.11920852011106947,0.1174850950303792,0.11469511610650256,0.11274221103136858,0.10931634722675021,0.1075150806923331,0.10436020487407097,0.10241517311538417,0.10073326560907023,0.09854698572795283,0.09660032097475725,0.09502244413181869,0.09335977824747803,0.09224845145512785,0.09048326440025299,0.0895458233411626,0.08692598298375043,0.08610709749070587,0.08590656597761981,0.08373072806644774,0.08177537960206865,0.07947166965380058,0.07863948393069109,0.07748107489000236,0.07668764715444965,0.0756154674334903,0.07372306140550315,0.07366234996217676,0.07338180619947256,0.07314417969621786,0.07265885150693845,0.07165843720034434,0.0703051727002514,0.06800391802935188,0.06757731934681616,0.06728208904288774,0.0663963914135814,0.06596146791175571,0.06480572796087959,0.0641992694730852,0.06276323400210554,0.062373304427438624,0.06187145671874481,0.061198322305437945,0.06058634642541611,0.06001373163627272,0.05991893922314311,0.059796263571165,0.05906481900150409,0.05850876021211707,0.05828677079009384,0.05791537351931106,0.0567221678651663,0.056149868642531284
0.0030787649092217867,0.001454641938430214,0.0014831636782319288,0.001655373588146852,0.0019693180329133997,0.0024527892596688645,0.0030553828719523525,0.003823504116048605,0.004832160065139754,0.006212617704021409,0.008105173692548455,0.01054897434038106,0.013715787965486313,0.018295925142169208,0.023787108349446223,0.02997617695964227,0.03888460740514274,0.050168332031634476,0.06480852741921057,0.08255114433305911,0.1034470124217818,0.12686160000812766,0.15228477056362494,0.17744062246142805,0.19455712540346834,0.2079928231828343,0.2171058911777161,0.22257230095796962,0.22375289298784415,0.22254833126831544,0.22117141636247842,0.21654486157322872,0.20839230875398654,0.199851054394984,0.19300756989597515,0.18709061160692694,0.17972178168681863,0.17423651180351846,0.16791508716002015,0.16378145501633076,0.158357925326943,0.15428878638191057,0.14958082393675845,0.14461938145943443,0.14143472612260344,0.13631619957156754,0.13592333384325556,0.13183571471752376,0.1284177914725295,0.12590182347340842,0.12383573568246514,0.12027970450990393,0.11827400650052546,0.11513525117429235,0.11280776008820058,0.11182056187676573,0.10896226900766984,0.10675057374707748,0.10401960946457145,0.10248851638071332,0.10075371685798402,0.09979870468990126,0.0975606662898496,0.09701074645089078,0.0963275339567943,0.09523745900925809,0.09354989562548106,0.09275433983365242,0.09202209598547653,0.09033460418298632,0.08876261842286781,0.0874558539756756,0.08629491949520998,0.08470094871635962,0.08381590126389415,0.08213505669023927,0.0816082423637485,0.08126689589117436,0.08104181654005367,0.07977066276876546,0.07854941670770534,0.07797365723887256,0.07698112268477145,0.07672280596968335,0.07697668540246204,0.07623083039038639,0.07501204528475339,0.07412702747632793,0.07282038942839437,0.07199574394916809,0.07160928246678266,0.07107695229296451,0.070490973780727,0.06964541746905692,0.06941874776725937,0.06840746006032042,0.06840751216753775,0.06812265517514629,0.06734438019764843,0.06715913791237771
0.0030787649092217867,0.0015693709148748042,0.0016346815010988035,0.0018251632258606948,0.0021775520632750203,0.0027502504976892462,0.0033885286423273545,0.0042090832978530545,0.005450383810813046,0.0068659844319728285,0.008995876786264057,0.011776749352932143,0.015164782210741795,0.020071837733887172,0.025982788883985974,0.03322140450388587,0.04282316268909656,0.0556594865904176,0.07152567438775462,0.09120668932162322,0.11405782037755391,0.1380112215451083,0.162755414886631,0.18805651219430808,0.20458904836427913,0.2165304826540007,0.2251815543380235,0.23191884390089257,0.23304865792920204,0.232189776160448,0.23087003172782286,0.22603993643885856,0.2211017050241948,0.21417129208707325,0.20669641740321415,0.20004492437255766,0.1959480277622527,0.18945319214879902,0.18271860773995927,0.17865684608650953,0.17221052613679533,0.1682558416924453,0.16375567194743337,0.1602496265693636,0.156165059024655,0.15291037437901614,0.14978444718232425,0.14672718528315257,0.14284955791143,0.14093664507144213,0.13640587467203286,0.13421236062518094,0.13220400911570587,0.12953075766314132,0.12716130656957947,0.12527598857141614,0.12319950661738731,0.12148574733675446,0.11895413443798908,0.11798845276532588,0.11623520494064947,0.11456657186566704,0.11310763766528663,0.11093519272981915,0.10991853325345614,0.10697504316286287,0.10639028886405587,0.10575641864578417,0.10387639500779512,0.10295028310226906,0.10158467955252187,0.10018243107116492,0.09919283089271097,0.09840211233467075,0.09735736034191682,0.09562549730601784,0.09448344475999715,0.09378993166796787,0.09312469168041747,0.09224189456381604,0.09096864117935188,0.09018596640826096,0.0888674188855203,0.08845947965585,0.08777563121907862,0.08691037702533491,0.08613694694452709,0.08545080902553166,0.08491268740554954,0.0846973448011197,0.08355601716455191,0.08253867688508261,0.08153997467094526,0.08085277709281943,0.08005211906879406,0.07870079712164613,0.07743665879654951,0.07689235282592877,0.07650171272204301,0.0763600234732546
0.0030787649092217867,0.0016876924247102062,0.001755068635678538,0.0020009810498899036,0.002407387904050102,0.003012661263282014,0.003746508024922136,0.004663531868583565,0.0060467403121331155,0.00755847529702991,0.009907541983674741,0.012857997123739518,0.016530353790283017,0.021828094311795287,0.028546790225095823,0.03630424925419345,0.04662052124066942,0.06066493115701419,0.07820637220837376,0.0996193260410194,0.12304930882266879,0.14755389974446906,0.1736220566560134,0.19659553910648692,0.2127367803991027,0.2237857304921624,0.23383530564944865,0.23930149297008854,0.2410177186095193,0.24087412083332818,0.24013038578745172,0.23600199486169535,0.23036686264704984,0.22605155076579828,0.22031746431484778,0.2149021263082626,0.20820710746296622,0.20146219365470774,0.19596011760886192,0.191957328683039,0.18412492613847325,0.1801830974426084,0.1782181255749664,0.17332867850793646,0.1702740580719978,0.1664748240178179,0.1618312744508527,0.15808204009255142,0.1555843876519011,0.15175277325414863,0.14833380675793245,0.1455970956564028,0.14416007054116267,0.14225954070935454,0.13915090531797433,0.13722930933003916,0.13544409141093183,0.1342467087219187,0.13284418777432283,0.13032013119459335,0.12809185900928022,0.1271408685613829,0.12483427606868593,0.12254188265125417,0.12147643130024235,0.11949119379786509,0.11803946488192044,0.11709788251326794,0.11589368676878482,0.11525619857348149,0.11344441022821386,0.11239708282821247,0.1112098863791794,0.11042668316954513,0.10965586916041448,0.10922199564927837,0.10741362637483348,0.10683493876266603,0.10597679153981317,0.10401870698139148,0.1021310774568539,0.1011561516816041,0.10025570834243723,0.10012863471324143,0.0994112194635898,0.0984627784726691,0.09773391972964904,0.09609132594310144,0.09540447990414398,0.0945485155979794,0.09338805305439173,0.09252655242241582,0.09207610876474227,0.09139217737244898,0.08968577644050324,0.08885342992781466,0.08793467029415755,0.0866570261200117,0.08607273906309879,0.08565493161658454
0.0030787649092217867,0.0017996445421883738,0.0018996943912780995,0.0021934536173646713,0.002598391611459494,0.003314692603350206,0.004079040341360396,0.005082389270162663,0.006564774161531655,0.008214893573048268,0.010845875230108297,0.013811643196539753,0.017996110129090515,0.023572102094661165,0.03074313244561174,0.03926423211557183,0.05026720289508235,0.0654411251214579,0.08428789160317911,0.1059217595865285,0.1313368668663487,0.1558323711790946,0.18317520753903968,0.205017843552797,0.21993882833206357,0.23094675128217887,0.24020304394848419,0.24620345185201403,0.24816338821822523,0.24831245007832609,0.24776817997584863,0.24362565897574767,0.2402911385446301,0.23678393910736886,0.23255729115081727,0.22591678184973535,0.21915840998110636,0.21363548645532157,0.2085398244838087,0.20146319016354217,0.19771193373088566,0.19294629552973733,0.1900724974415307,0.1869166660734158,0.1825386682867129,0.17883722395681023,0.17315195176343015,0.17026392319581157,0.16768705489454586,0.16338063754901347,0.1598781777579228,0.15874630385712987,0.1560684800947486,0.15337747750401742,0.1513091819360303,0.14902032842006802,0.1464290362922655,0.14554661841214758,0.1431406024155042,0.14129421137907974,0.1394325000013143,0.1378061091694583,0.1363063514896695,0.1342945206919686,0.1327412586538497,0.1313398854872601,0.12991236692216135,0.12900379140737384,0.1271512051936438,0.1262722625616958,0.1243957111956185,0.12387468169571396,0.12294617834129366,0.122261540392834,0.1210908664349893,0.11771465350056302,0.11710518002032565,0.11656532742027276,0.11599260470856759,0.1147404517791921,0.11280656883884112,0.1118139941930469,0.11119566874199566,0.11073331244860124,0.10841150396024779,0.10763719167858105,0.10758463307301086,0.10678086165184057,0.10611340558203756,0.10451621214562927,0.10327857396615352,0.10232009337594575,0.1021626276555338,0.10107592042507364,0.09887964696481735,0.09841397129351107,0.09799744989515922,0.09691063665005624,0.09646456897473589,0.09540962667502885
